Submit datetime, Solver type, Nodes type, #CPUs, Queue type, Input, #Threads, Sort, Real time
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 20, , 53.676
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 20, , 44.287
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 20, , 54.270
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 20, , 82.037
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 20, , 54.834
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 20, , 70.951
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 20, , 42.733
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 20, , 84.519
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 2, , 315.850
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 2, , 240.913
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 2, , 481.452
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 2, , 347.866
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 2, , 435.384
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 2, , 290.864
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 2, , 123.620
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 2, , inf
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 4, , 122.234
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 4, , 123.086
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 4, , 271.999
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 4, , 289.443
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 4, , 246.109
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 4, , 152.316
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 4, , 179.225
04/30/2022 19:04, data-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 4, , 325.008
